Country,Date,Event,Event Type
Bosnia and Herzegovina,2020-03-16,Internal movement [1]: recommended refrain,Internal movement
Bosnia and Herzegovina,2020-03-17,Public events [2]: required cancellation,Public events
Bosnia and Herzegovina,2020-03-17,Public transport [2]: required closure,Public transport
Bosnia and Herzegovina,2020-03-17,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Bosnia and Herzegovina,2020-03-18,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Bosnia and Herzegovina,2020-03-20,Internal movement [2]: required restriction,Internal movement
Bosnia and Herzegovina,2020-03-20,Stay at home [3]: required with minimal exception,Stay at home
Bosnia and Herzegovina,2020-04-24,Stay at home [2]: required with exception,Stay at home
Bosnia and Herzegovina,2020-05-11,International travel [4]: Total border closure,International travel
Bosnia and Herzegovina,2020-05-11,Public transport [1]: recommended closure or volume reduction,Public transport
Bosnia and Herzegovina,2020-05-11,Workplace closure [2]: required closing for some,Workplace closure
Bosnia and Herzegovina,2020-05-15,Public transport [0]: no measures,Public transport
Bosnia and Herzegovina,2020-05-21,Stay at home [0]: no measures,Stay at home
Bosnia and Herzegovina,2020-05-29,Internal movement [1]: recommended refrain,Internal movement
Bosnia and Herzegovina,2020-05-29,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Bosnia and Herzegovina,2020-06-01,International travel [0]: no measures,International travel
Bosnia and Herzegovina,2020-06-13,Public gatherings [2]: restrictions between 100-1000 people,Public gatherings
Bosnia and Herzegovina,2020-07-05,International travel [3]: Ban on high-risk regions,International travel
Bosnia and Herzegovina,2020-07-05,Workplace closure [1]: recommended closing (or work from home),Workplace closure
Bosnia and Herzegovina,2020-07-24,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Bosnia and Herzegovina,2020-08-21,Internal movement [0]: no measures,Internal movement
Bosnia and Herzegovina,2020-08-31,School closure [1]: recommended closing,School closure
Bosnia and Herzegovina,2020-09-07,International travel [1]: screening,International travel
Botswana,2020-01-01,International travel [0]: no measures,International travel
Botswana,2020-01-01,Public campaign [1]: public officials urging caution,Public campaign
Botswana,2020-01-01,Public events [0]: no measures,Public events
Botswana,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Botswana,2020-01-01,School closure [0]: no measures,School closure
Botswana,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Botswana,2020-01-24,Public campaign [2]: coordinated public information campaign,Public campaign
Botswana,2020-01-28,International travel [1]: screening,International travel
Botswana,2020-03-16,Internal movement [1]: recommended refrain,Internal movement
Botswana,2020-03-16,International travel [3]: Ban on high-risk regions,International travel
Botswana,2020-03-16,Public events [2]: required cancellation,Public events
Botswana,2020-03-16,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Botswana,2020-03-19,International travel [4]: Total border closure,International travel
Botswana,2020-03-19,School closure [3]: required closing for all,School closure
Botswana,2020-03-25,Public transport [1]: recommended closure or volume reduction,Public transport
Botswana,2020-04-02,Internal movement [2]: required restriction,Internal movement
Botswana,2020-04-02,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Botswana,2020-04-02,Stay at home [2]: required with exception,Stay at home
Botswana,2020-04-02,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Botswana,2020-05-08,Workplace closure [2]: required closing for some,Workplace closure
Botswana,2020-05-20,Public events [1]: recommended cancellation,Public events
Botswana,2020-05-20,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Botswana,2020-05-20,Stay at home [1]: recommended,Stay at home
Botswana,2020-05-20,Workplace closure [1]: recommended closing (or work from home),Workplace closure
Botswana,2020-05-22,Public transport [0]: no measures,Public transport
Botswana,2020-06-02,School closure [2]: required closing for some,School closure
Botswana,2020-06-13,Public events [2]: required cancellation,Public events
Botswana,2020-06-13,School closure [3]: required closing for all,School closure
Botswana,2020-06-13,Stay at home [3]: required with minimal exception,Stay at home
Botswana,2020-06-13,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Botswana,2020-06-16,Public events [1]: recommended cancellation,Public events
Botswana,2020-06-16,School closure [2]: required closing for some,School closure
Botswana,2020-06-16,Stay at home [1]: recommended,Stay at home
Botswana,2020-06-16,Workplace closure [1]: recommended closing (or work from home),Workplace closure
Botswana,2020-07-26,School closure [1]: recommended closing,School closure
Botswana,2020-07-31,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Botswana,2020-07-31,Public transport [1]: recommended closure or volume reduction,Public transport
Botswana,2020-07-31,Stay at home [2]: required with exception,Stay at home
Botswana,2020-08-03,Public transport [0]: no measures,Public transport
Botswana,2020-08-14,Internal movement [1]: recommended refrain,Internal movement
Botswana,2020-08-14,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Botswana,2020-08-14,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Botswana,2020-08-14,Stay at home [1]: recommended,Stay at home
Botswana,2020-08-25,International travel [4]: Total border closure,International travel
Botswana,2020-09-04,School closure [0]: no measures,School closure
Botswana,2020-09-14,Public events [2]: required cancellation,Public events
Botswana,2020-09-14,School closure [1]: recommended closing,School closure
Botswana,2020-09-25,Internal movement [2]: required restriction,Internal movement
Brazil,2020-01-01,Internal movement [0]: no measures,Internal movement
Brazil,2020-01-01,International travel [0]: no measures,International travel
Brazil,2020-01-01,Public campaign [0]: no measures,Public campaign
Brazil,2020-01-01,Public events [0]: no measures,Public events
Brazil,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Brazil,2020-01-01,School closure [0]: no measures,School closure
Brazil,2020-01-01,Stay at home [0]: no measures,Stay at home
Brazil,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Brazil,2020-01-29,Public campaign [1]: public officials urging caution,Public campaign
Brazil,2020-03-02,Public campaign [2]: coordinated public information campaign,Public campaign
Brazil,2020-03-12,Public events [2]: required cancellation,Public events
Brazil,2020-03-12,School closure [3]: required closing for all,School closure
Brazil,2020-03-13,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Brazil,2020-03-13,Stay at home [1]: recommended,Stay at home
Brazil,2020-03-13,Workplace closure [1]: recommended closing (or work from home),Workplace closure
Brazil,2020-03-14,Public gatherings [2]: restrictions between 100-1000 people,Public gatherings
Brazil,2020-03-17,Internal movement [2]: required restriction,Internal movement
Brazil,2020-03-17,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Brazil,2020-03-18,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Brazil,2020-03-19,International travel [3]: Ban on high-risk regions,International travel
Brazil,2020-03-19,Public transport [1]: recommended closure or volume reduction,Public transport
Brazil,2020-03-21,Public transport [2]: required closure,Public transport
Brazil,2020-03-27,International travel [4]: Total border closure,International travel
Brazil,2020-04-26,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Brazil,2020-05-05,Stay at home [2]: required with exception,Stay at home
Brazil,2020-06-01,Workplace closure [2]: required closing for some,Workplace closure
Brazil,2020-07-03,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Brazil,2020-07-29,International travel [1]: screening,International travel
Brazil,2020-08-24,Stay at home [3]: required with minimal exception,Stay at home
Brazil,2020-08-31,Stay at home [2]: required with exception,Stay at home
Brazil,2020-09-23,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Brazil,2020-10-08,Workplace closure [2]: required closing for some,Workplace closure
British Virgin Islands,2020-01-01,Internal movement [0]: no measures,Internal movement
British Virgin Islands,2020-01-01,International travel [0]: no measures,International travel
British Virgin Islands,2020-01-01,Public campaign [0]: no measures,Public campaign
British Virgin Islands,2020-01-01,Public events [0]: no measures,Public events
British Virgin Islands,2020-01-01,Public gatherings [0]: no measures,Public gatherings
British Virgin Islands,2020-01-01,Public transport [0]: no measures,Public transport
British Virgin Islands,2020-01-01,School closure [0]: no measures,School closure
British Virgin Islands,2020-01-01,Stay at home [0]: no measures,Stay at home
British Virgin Islands,2020-01-01,Workplace closure [0]: no measures,Workplace closure
British Virgin Islands,2020-01-31,Public campaign [1]: public officials urging caution,Public campaign
British Virgin Islands,2020-02-14,International travel [1]: screening,International travel
British Virgin Islands,2020-03-13,International travel [2]: Quarantine arrivals from high-risk regions,International travel
British Virgin Islands,2020-03-15,International travel [3]: Ban on high-risk regions,International travel
British Virgin Islands,2020-03-16,Public events [2]: required cancellation,Public events
British Virgin Islands,2020-03-19,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
British Virgin Islands,2020-03-19,School closure [3]: required closing for all,School closure
British Virgin Islands,2020-03-23,International travel [4]: Total border closure,International travel
British Virgin Islands,2020-03-25,Stay at home [2]: required with exception,Stay at home
British Virgin Islands,2020-03-27,Public gatherings [4]: restrictions less than 10 people,Public gatherings
British Virgin Islands,2020-03-27,Stay at home [3]: required with minimal exception,Stay at home
British Virgin Islands,2020-03-27,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
British Virgin Islands,2020-04-27,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
British Virgin Islands,2020-04-27,Stay at home [2]: required with exception,Stay at home
British Virgin Islands,2020-04-29,Workplace closure [2]: required closing for some,Workplace closure
British Virgin Islands,2020-06-04,Workplace closure [1]: recommended closing (or work from home),Workplace closure
British Virgin Islands,2020-08-21,Internal movement [2]: required restriction,Internal movement
British Virgin Islands,2020-08-21,Workplace closure [2]: required closing for some,Workplace closure
British Virgin Islands,2020-08-26,Public gatherings [4]: restrictions less than 10 people,Public gatherings
British Virgin Islands,2020-08-26,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Brunei,2020-01-01,Internal movement [0]: no measures,Internal movement
Brunei,2020-01-01,International travel [0]: no measures,International travel
Brunei,2020-01-01,Public campaign [0]: no measures,Public campaign
Brunei,2020-01-01,Public events [0]: no measures,Public events
Brunei,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Brunei,2020-01-01,School closure [0]: no measures,School closure
Brunei,2020-01-01,Stay at home [0]: no measures,Stay at home
Brunei,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Brunei,2020-01-06,Public campaign [2]: coordinated public information campaign,Public campaign
Brunei,2020-01-30,International travel [3]: Ban on high-risk regions,International travel
Brunei,2020-03-11,School closure [3]: required closing for all,School closure
Brunei,2020-03-13,Public events [2]: required cancellation,Public events
Brunei,2020-03-13,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Brunei,2020-03-24,International travel [4]: Total border closure,International travel
Brunei,2020-04-11,Internal movement [1]: recommended refrain,Internal movement
Brunei,2020-05-15,Public events [1]: recommended cancellation,Public events
Brunei,2020-06-02,School closure [2]: required closing for some,School closure
Brunei,2020-07-27,Internal movement [0]: no measures,Internal movement
Brunei,2020-07-27,School closure [0]: no measures,School closure
Brunei,2020-08-13,Public gatherings [2]: restrictions between 100-1000 people,Public gatherings
Brunei,2020-08-17,Workplace closure [1]: recommended closing (or work from home),Workplace closure
Brunei,2020-09-01,International travel [3]: Ban on high-risk regions,International travel
Brunei,2020-09-15,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Brunei,2020-09-29,School closure [1]: recommended closing,School closure
Bulgaria,2020-01-01,International travel [0]: no measures,International travel
Bulgaria,2020-01-01,Public campaign [0]: no measures,Public campaign
Bulgaria,2020-01-01,Public events [0]: no measures,Public events
Bulgaria,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Bulgaria,2020-01-01,School closure [0]: no measures,School closure
Bulgaria,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Bulgaria,2020-02-03,International travel [1]: screening,International travel
Bulgaria,2020-02-11,Public campaign [1]: public officials urging caution,Public campaign
Bulgaria,2020-02-24,Public campaign [2]: coordinated public information campaign,Public campaign
Bulgaria,2020-03-05,School closure [2]: required closing for some,School closure
Bulgaria,2020-03-11,Public events [1]: recommended cancellation,Public events
Bulgaria,2020-03-13,Public events [2]: required cancellation,Public events
Bulgaria,2020-03-13,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Bulgaria,2020-03-13,School closure [3]: required closing for all,School closure
Bulgaria,2020-03-13,Workplace closure [1]: recommended closing (or work from home),Workplace closure
Bulgaria,2020-03-17,International travel [3]: Ban on high-risk regions,International travel
Bulgaria,2020-03-18,Internal movement [2]: required restriction,Internal movement
Bulgaria,2020-03-18,Stay at home [2]: required with exception,Stay at home
Bulgaria,2020-04-01,Stay at home [1]: recommended,Stay at home
Bulgaria,2020-04-15,Stay at home [2]: required with exception,Stay at home
Bulgaria,2020-05-06,Internal movement [0]: no measures,Internal movement
Bulgaria,2020-05-08,Stay at home [1]: recommended,Stay at home
Bulgaria,2020-05-14,International travel [4]: Total border closure,International travel
Bulgaria,2020-05-21,School closure [2]: required closing for some,School closure
Bulgaria,2020-05-22,International travel [3]: Ban on high-risk regions,International travel
Bulgaria,2020-05-30,Public events [1]: recommended cancellation,Public events
Bulgaria,2020-05-31,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Bulgaria,2020-05-31,Stay at home [0]: no measures,Stay at home
Bulgaria,2020-06-10,Public gatherings [1]: restrictions above 1000 people,Public gatherings
Bulgaria,2020-06-19,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Bulgaria,2020-07-09,Public events [2]: required cancellation,Public events
Bulgaria,2020-07-09,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Bulgaria,2020-07-10,International travel [3]: Ban on high-risk regions,International travel
Bulgaria,2020-07-13,Public events [1]: recommended cancellation,Public events
Bulgaria,2020-07-13,Public gatherings [1]: restrictions above 1000 people,Public gatherings
Bulgaria,2020-07-31,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Bulgaria,2020-08-04,Public gatherings [2]: restrictions between 100-1000 people,Public gatherings
Bulgaria,2020-09-12,Public gatherings [1]: restrictions above 1000 people,Public gatherings
Bulgaria,2020-09-15,School closure [1]: recommended closing,School closure
Burkina Faso,2020-01-01,International travel [0]: no measures,International travel
Burkina Faso,2020-01-01,Public campaign [0]: no measures,Public campaign
Burkina Faso,2020-01-01,Public events [0]: no measures,Public events
Burkina Faso,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Burkina Faso,2020-01-01,School closure [0]: no measures,School closure
Burkina Faso,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Burkina Faso,2020-03-12,Public events [2]: required cancellation,Public events
Burkina Faso,2020-03-16,Public campaign [2]: coordinated public information campaign,Public campaign
Burkina Faso,2020-03-16,School closure [3]: required closing for all,School closure
Burkina Faso,2020-03-21,Internal movement [2]: required restriction,Internal movement
Burkina Faso,2020-03-21,International travel [4]: Total border closure,International travel
Burkina Faso,2020-03-21,Public gatherings [1]: restrictions above 1000 people,Public gatherings
Burkina Faso,2020-03-21,Stay at home [2]: required with exception,Stay at home
Burkina Faso,2020-03-21,Workplace closure [2]: required closing for some,Workplace closure
Burkina Faso,2020-03-23,Public transport [2]: required closure,Public transport
Burkina Faso,2020-05-04,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Burkina Faso,2020-05-05,Internal movement [0]: no measures,Internal movement
Burkina Faso,2020-05-05,Public transport [0]: no measures,Public transport
Burkina Faso,2020-05-14,Workplace closure [0]: no measures,Workplace closure
Burkina Faso,2020-06-01,School closure [0]: no measures,School closure
Burkina Faso,2020-06-01,Stay at home [1]: recommended,Stay at home
Burkina Faso,2020-07-31,Internal movement [2]: required restriction,Internal movement
Burkina Faso,2020-08-09,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Burkina Faso,2020-09-10,Internal movement [0]: no measures,Internal movement
Burkina Faso,2020-09-10,Stay at home [0]: no measures,Stay at home
Burkina Faso,2020-10-15,International travel [1]: screening,International travel
Burkina Faso,2020-10-15,Public events [0]: no measures,Public events
Burundi,2020-01-01,International travel [0]: no measures,International travel
Burundi,2020-01-01,Public campaign [0]: no measures,Public campaign
Burundi,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Burundi,2020-02-01,Public campaign [1]: public officials urging caution,Public campaign
Burundi,2020-03-05,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Burundi,2020-03-22,International travel [3]: Ban on high-risk regions,International travel
Burundi,2020-08-01,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Cambodia,2020-01-01,International travel [0]: no measures,International travel
Cambodia,2020-01-01,Public campaign [0]: no measures,Public campaign
Cambodia,2020-03-07,Public events [2]: required cancellation,Public events
Cambodia,2020-03-07,School closure [3]: required closing for all,School closure
Cambodia,2020-03-13,International travel [3]: Ban on high-risk regions,International travel
Cambodia,2020-03-17,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Cambodia,2020-03-17,Workplace closure [2]: required closing for some,Workplace closure
Cambodia,2020-03-26,Public campaign [2]: coordinated public information campaign,Public campaign
Cambodia,2020-04-08,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Cambodia,2020-04-09,Internal movement [2]: required restriction,Internal movement
Cambodia,2020-04-17,Internal movement [0]: no measures,Internal movement
Cambodia,2020-06-01,Public events [0]: no measures,Public events
Cambodia,2020-06-01,Public gatherings [2]: restrictions between 100-1000 people,Public gatherings
Cambodia,2020-08-03,Stay at home [1]: recommended,Stay at home
Cambodia,2020-08-06,International travel [3]: Ban on high-risk regions,International travel
Cambodia,2020-08-24,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Cambodia,2020-09-07,School closure [1]: recommended closing,School closure
Cameroon,2020-01-01,International travel [0]: no measures,International travel
Cameroon,2020-01-01,Public campaign [0]: no measures,Public campaign
Cameroon,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Cameroon,2020-01-01,School closure [0]: no measures,School closure
Cameroon,2020-01-01,Stay at home [0]: no measures,Stay at home
Cameroon,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Cameroon,2020-03-13,International travel [1]: screening,International travel
Cameroon,2020-03-18,Internal movement [1]: recommended refrain,Internal movement
Cameroon,2020-03-18,International travel [3]: Ban on high-risk regions,International travel
Cameroon,2020-03-18,Public events [2]: required cancellation,Public events
Cameroon,2020-03-18,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Cameroon,2020-03-18,Public transport [1]: recommended closure or volume reduction,Public transport
Cameroon,2020-03-18,School closure [3]: required closing for all,School closure
Cameroon,2020-03-18,Workplace closure [2]: required closing for some,Workplace closure
Cameroon,2020-04-04,Public campaign [2]: coordinated public information campaign,Public campaign
Cameroon,2020-04-18,International travel [4]: Total border closure,International travel
Cameroon,2020-05-01,Workplace closure [0]: no measures,Workplace closure
Cameroon,2020-06-01,School closure [2]: required closing for some,School closure
Cameroon,2020-08-27,International travel [3]: Ban on high-risk regions,International travel
Cameroon,2020-09-22,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Cameroon,2020-10-02,Public transport [0]: no measures,Public transport
Cameroon,2020-10-09,Public campaign [1]: public officials urging caution,Public campaign
Cameroon,2020-10-15,School closure [0]: no measures,School closure
Canada,2020-01-01,Internal movement [0]: no measures,Internal movement
Canada,2020-01-01,International travel [0]: no measures,International travel
Canada,2020-01-01,Public campaign [0]: no measures,Public campaign
Canada,2020-01-01,Public events [0]: no measures,Public events
Canada,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Canada,2020-01-22,International travel [1]: screening,International travel
Canada,2020-03-11,Public campaign [2]: coordinated public information campaign,Public campaign
Canada,2020-03-12,Public events [2]: required cancellation,Public events
Canada,2020-03-14,Stay at home [1]: recommended,Stay at home
Canada,2020-03-16,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Canada,2020-03-16,School closure [3]: required closing for all,School closure
Canada,2020-03-18,International travel [4]: Total border closure,International travel
Canada,2020-03-18,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Canada,2020-03-20,Internal movement [2]: required restriction,Internal movement
Canada,2020-03-23,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Canada,2020-06-22,Workplace closure [2]: required closing for some,Workplace closure
Canada,2020-08-12,International travel [3]: Ban on high-risk regions,International travel
Canada,2020-09-08,School closure [2]: required closing for some,School closure
Cape Verde,2020-01-01,Internal movement [0]: no measures,Internal movement
Cape Verde,2020-01-01,International travel [0]: no measures,International travel
Cape Verde,2020-01-01,Public campaign [0]: no measures,Public campaign
Cape Verde,2020-01-01,Public events [0]: no measures,Public events
Cape Verde,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Cape Verde,2020-01-01,School closure [0]: no measures,School closure
Cape Verde,2020-01-01,Stay at home [0]: no measures,Stay at home
Cape Verde,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Cape Verde,2020-01-12,Public events [2]: required cancellation,Public events
Cape Verde,2020-01-12,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Cape Verde,2020-01-12,Stay at home [1]: recommended,Stay at home
Cape Verde,2020-02-05,Public campaign [1]: public officials urging caution,Public campaign
Cape Verde,2020-02-11,Public campaign [2]: coordinated public information campaign,Public campaign
Cape Verde,2020-02-27,International travel [3]: Ban on high-risk regions,International travel
Cape Verde,2020-03-19,International travel [4]: Total border closure,International travel
Cape Verde,2020-03-20,Internal movement [2]: required restriction,Internal movement
Cape Verde,2020-03-23,School closure [2]: required closing for some,School closure
Cape Verde,2020-03-28,Public transport [1]: recommended closure or volume reduction,Public transport
Cape Verde,2020-03-28,School closure [3]: required closing for all,School closure
Cape Verde,2020-03-28,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Cape Verde,2020-05-05,Workplace closure [2]: required closing for some,Workplace closure
Cape Verde,2020-07-15,Internal movement [0]: no measures,Internal movement
Cape Verde,2020-07-27,Public transport [0]: no measures,Public transport
Cape Verde,2020-09-01,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Cape Verde,2020-10-12,Internal movement [2]: required restriction,Internal movement
Cape Verde,2020-10-12,International travel [1]: screening,International travel
Cayman Islands,2020-01-01,Internal movement [0]: no measures,Internal movement
Cayman Islands,2020-01-01,International travel [0]: no measures,International travel
Cayman Islands,2020-01-01,Public events [0]: no measures,Public events
Cayman Islands,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Cayman Islands,2020-01-01,School closure [0]: no measures,School closure
Cayman Islands,2020-01-01,Stay at home [0]: no measures,Stay at home
Cayman Islands,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Cayman Islands,2020-01-24,Public campaign [1]: public officials urging caution,Public campaign
Cayman Islands,2020-01-31,International travel [1]: screening,International travel
Cayman Islands,2020-02-10,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Cayman Islands,2020-02-28,International travel [3]: Ban on high-risk regions,International travel
Cayman Islands,2020-03-13,Public events [2]: required cancellation,Public events
Cayman Islands,2020-03-13,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Cayman Islands,2020-03-16,International travel [4]: Total border closure,International travel
Cayman Islands,2020-03-16,School closure [3]: required closing for all,School closure
Cayman Islands,2020-03-23,Workplace closure [2]: required closing for some,Workplace closure
Cayman Islands,2020-03-24,Stay at home [2]: required with exception,Stay at home
Cayman Islands,2020-03-25,Internal movement [2]: required restriction,Internal movement
Cayman Islands,2020-03-25,Stay at home [3]: required with minimal exception,Stay at home
Cayman Islands,2020-03-28,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Cayman Islands,2020-03-28,Public transport [2]: required closure,Public transport
Cayman Islands,2020-03-28,Stay at home [2]: required with exception,Stay at home
Cayman Islands,2020-03-28,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Cayman Islands,2020-04-16,Stay at home [3]: required with minimal exception,Stay at home
Cayman Islands,2020-05-05,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Cayman Islands,2020-05-05,Stay at home [2]: required with exception,Stay at home
Cayman Islands,2020-06-19,Public transport [0]: no measures,Public transport
Cayman Islands,2020-06-22,Stay at home [0]: no measures,Stay at home
Cayman Islands,2020-06-22,Workplace closure [0]: no measures,Workplace closure
Central African Republic,2020-01-01,Internal movement [0]: no measures,Internal movement
Central African Republic,2020-01-01,International travel [0]: no measures,International travel
Central African Republic,2020-01-01,Public campaign [0]: no measures,Public campaign
Central African Republic,2020-01-01,Public events [0]: no measures,Public events
Central African Republic,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Central African Republic,2020-01-01,School closure [0]: no measures,School closure
Central African Republic,2020-03-14,Public campaign [2]: coordinated public information campaign,Public campaign
Central African Republic,2020-03-26,Internal movement [2]: required restriction,Internal movement
Central African Republic,2020-03-26,International travel [4]: Total border closure,International travel
Central African Republic,2020-03-26,Public events [2]: required cancellation,Public events
Central African Republic,2020-03-26,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Central African Republic,2020-03-26,School closure [3]: required closing for all,School closure
Central African Republic,2020-03-26,Workplace closure [2]: required closing for some,Workplace closure
Central African Republic,2020-05-08,Stay at home [2]: required with exception,Stay at home
Central African Republic,2020-06-11,Stay at home [1]: recommended,Stay at home
Central African Republic,2020-06-11,Workplace closure [0]: no measures,Workplace closure
Central African Republic,2020-07-14,Internal movement [1]: recommended refrain,Internal movement
Central African Republic,2020-07-14,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Central African Republic,2020-07-24,Workplace closure [1]: recommended closing (or work from home),Workplace closure
Central African Republic,2020-08-25,Public events [1]: recommended cancellation,Public events
Central African Republic,2020-09-15,Public events [2]: required cancellation,Public events
Central African Republic,2020-09-15,School closure [2]: required closing for some,School closure
Chad,2020-01-01,Internal movement [0]: no measures,Internal movement
Chad,2020-01-01,International travel [0]: no measures,International travel
Chad,2020-01-01,Public campaign [0]: no measures,Public campaign
Chad,2020-01-01,Public events [0]: no measures,Public events
Chad,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Chad,2020-01-01,School closure [0]: no measures,School closure
Chad,2020-01-01,Stay at home [0]: no measures,Stay at home
Chad,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Chad,2020-03-07,Public campaign [2]: coordinated public information campaign,Public campaign
Chad,2020-03-08,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Chad,2020-03-18,International travel [3]: Ban on high-risk regions,International travel
Chad,2020-03-19,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Chad,2020-04-02,Stay at home [2]: required with exception,Stay at home
Chad,2020-04-13,Internal movement [2]: required restriction,Internal movement
Chad,2020-04-13,International travel [4]: Total border closure,International travel
Chad,2020-04-13,Public events [2]: required cancellation,Public events
Chad,2020-04-13,Public transport [2]: required closure,Public transport
Chad,2020-04-13,School closure [3]: required closing for all,School closure
Chad,2020-04-13,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Chad,2020-05-18,Public transport [0]: no measures,Public transport
Chad,2020-05-18,Workplace closure [2]: required closing for some,Workplace closure
Chad,2020-06-25,Internal movement [1]: recommended refrain,Internal movement
Chad,2020-06-25,School closure [2]: required closing for some,School closure
Chad,2020-07-28,Internal movement [2]: required restriction,Internal movement
Chad,2020-08-01,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Chad,2020-09-18,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Chad,2020-09-18,Public transport [1]: recommended closure or volume reduction,Public transport
Chad,2020-09-29,School closure [3]: required closing for all,School closure
Chad,2020-10-01,School closure [0]: no measures,School closure
Chile,2020-01-01,Internal movement [0]: no measures,Internal movement
Chile,2020-01-01,International travel [0]: no measures,International travel
Chile,2020-01-01,Public campaign [0]: no measures,Public campaign
Chile,2020-01-01,Public events [0]: no measures,Public events
Chile,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Chile,2020-01-01,Public transport [0]: no measures,Public transport
Chile,2020-01-01,Stay at home [0]: no measures,Stay at home
Chile,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Chile,2020-03-14,Public campaign [2]: coordinated public information campaign,Public campaign
Chile,2020-03-15,School closure [3]: required closing for all,School closure
Chile,2020-03-16,Public events [2]: required cancellation,Public events
Chile,2020-03-16,Public gatherings [2]: restrictions between 100-1000 people,Public gatherings
Chile,2020-03-16,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
